xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
132187251,TRIPLE NOTCH TER,,E,0.104240469286685,5,HENRICO,VA,23233,America/New_York,37.64536,-77.61516,37.64456,-77.61358
132121416,ST JULIANS LN,,E,0.25814824273836,5,HENRICO,VA,23238,America/New_York,37.57648,-77.61649,37.57553,-77.61271
388331541,WYNDHAM LAKE DR,,S,0.201173299139992,5,HENRICO,VA,23059,America/New_York,37.69803,-77.61305,37.69528,-77.6126
131935536,OLD SADLER RD,,S,0.165965123941911,5,HENRICO,VA,23060,America/New_York,37.65023,-77.59014,37.64785,-77.59049
449119001,GASKINS RD,157,N,0.55267071105634,4,HENRICO,VA,23238,America/New_York,37.59628,-77.59445,37.60357,-77.59112
449119000,PATTERSON AVE,6,E,0.519145693451316,4,HENRICO,VA,23229,America/New_York,37.59515,-77.57584,37.59464,-77.56638
449119003,GASKINS RD,157,S,0.265511301975968,4,HENRICO,VA,23238,America/New_York,37.60738,-77.59049,37.60357,-77.59112
449119002,GASKINS RD,157,N,0.265511301975968,4,HENRICO,VA,23238,America/New_York,37.60357,-77.59112,37.60738,-77.59049
449119005,GASKINS RD,,S,0.362976845082734,4,HENRICO,VA,23238,America/New_York,37.60738,-77.59049,37.61241,-77.58874
135700576,AUDUBON DR,,E,0.119234103486351,4,HENRICO,VA,23231,America/New_York,37.52405,-77.35747,37.52357,-77.35538
134621457,TOMLYNN ST,,N,0.121746648090851,5,HENRICO,VA,23230,America/New_York,37.5788,-77.4799,37.58055,-77.47965
449119004,GASKINS RD,157,S,0.55267071105634,4,HENRICO,VA,23238,America/New_York,37.60357,-77.59112,37.59628,-77.59445
449119007,GASKINS RD,,S,0.608673334775919,4,HENRICO,VA,23238,America/New_York,37.62049,-77.58446,37.61246,-77.58887
449119006,GASKINS RD,,N,0.608897056043323,4,HENRICO,VA,23238,America/New_York,37.61241,-77.58874,37.62045,-77.58435
132180611,HILLSDALE DR,,E,0.081059681073129,5,HENRICO,VA,23229,America/New_York,37.58151,-77.55252,37.58191,-77.55117
449119009,N PARHAM RD,73,W,0.480335560159658,3,HENRICO,VA,23229,America/New_York,37.58829,-77.57248,37.58196,-77.56896
449119008,GASKINS RD,,S,0.365580295896337,4,HENRICO,VA,23238,America/New_York,37.61246,-77.58887,37.60738,-77.59049
388660830,JEB STUART PKWY,,N,0.205923983222648,4,HENRICO,VA,23059,America/New_York,37.66507,-77.4557,37.66716,-77.45314
1310392991,,,E,0.05196914898129,4,HENRICO,VA,23226,America/New_York,37.59564,-77.531,37.59551,-77.53012
1310453679,E LABURNUM AVE,197,W,0.497273928634327,3,HENRICO,VA,23222,America/New_York,37.58575,-77.42389,37.58519,-77.43294
1310289974,NEW MARKET RD,5,N,0.849317795126872,4,HENRICO,VA,23231,America/New_York,37.44707,-77.35839,37.45424,-77.37088
388660829,PORTUGEE RD,,E,0.135547788807044,5,HENRICO,VA,23150,America/New_York,37.47483,-77.21563,37.47519,-77.2132
135131960,COPPERAS LN,,S,0.037762825390248,5,HENRICO,VA,23233,America/New_York,37.62429,-77.62916,37.62381,-77.62883
134432472,EMERYWOOD PKWY,,W,0.069709766262387,5,HENRICO,VA,23294,America/New_York,37.61146,-77.52756,37.61233,-77.52698
441080886,E CEDAR FORK RD,,N,0.008078748747679,4,HENRICO,VA,23223,America/New_York,37.54805,-77.35896,37.54816,-77.35901
441080885,E CEDAR FORK RD,,S,0.008078748747679,4,HENRICO,VA,23223,America/New_York,37.54816,-77.35901,37.54805,-77.35896
388331533,DOMINION BLVD,,S,0.044337625882036,5,HENRICO,VA,23060,America/New_York,37.65467,-77.5843,37.65405,-77.58445
134883392,,,E,0.036483520465184,5,HENRICO,VA,23059,America/New_York,37.66983,-77.44627,37.66998,-77.44608
134987158,STONEMEADOW DR,,S,0.158691789297427,5,HENRICO,VA,23060,America/New_York,37.65644,-77.45414,37.65542,-77.45209
134432449,LAWNDELL RD,,W,0.145498839481287,4,HENRICO,VA,23229,America/New_York,37.62097,-77.56475,37.6226,-77.56641
1310234818,,,S,0.29543080819513,2,HENRICO,VA,23231,America/New_York,37.47205,-77.31066,37.46809,-77.30971
1310303122,GAYTON RD,,E,0.024680079930648,5,HENRICO,VA,23238,America/New_York,37.61318,-77.63235,37.61305,-77.63193
388857668,TECHNOLOGY BLVD,,S,0.32115393148386,4,HENRICO,VA,23150,America/New_York,37.49946,-77.25925,37.49611,-77.25519
388857669,EUBANK RD,,W,0.486776768416937,4,HENRICO,VA,23231,America/New_York,37.51168,-77.34065,37.51157,-77.34953
135462191,PROBST ST,,E,0.062031681626943,4,HENRICO,VA,23231,America/New_York,37.51858,-77.34413,37.51871,-77.34301
484755697,WOODMAN RD,,S,0.023349705965908,4,HENRICO,VA,23060,America/New_York,37.67136,-77.48286,37.67105,-77.48303
131940906,S MOORELAND RD,,E,0.108513666737158,5,HENRICO,VA,23229,America/New_York,37.57146,-77.59877,37.57193,-77.59689
388278805,DOMINION BLVD,,S,0.180551262997144,5,HENRICO,VA,23060,America/New_York,37.65669,-77.58379,37.65467,-77.5843
